LGA region,Postcode,People reporting fair or poor health status,People reporting fair or poor health status (rank),Females reporting fair or poor health status,Females reporting fair or poor health status (rank),Males reporting fair or poor health status,Males reporting fair or poor health status (rank),People receiving prescriptions,People receiving prescriptions (rank),Females receiving prescriptions,Females receiving prescriptions (rank),Males receiving prescriptions,Males receiving prescriptions (rank),"People who delayed purchasing prescribed medication, unable to afford","People who delayed purchasing prescribed medication, unable to afford (rank)",People reporting type 2 diabetes,People reporting type 2 diabetes (rank),People reporting high blood pressure,People reporting high blood pressure (rank),People reporting heart disease,People reporting heart disease (rank),"Cancer incidence per 1,000 population","Cancer incidence per 1,000 population (rank)","Cancer incidence per 1,000 females","Cancer incidence per 1,000 females (rank)","Cancer incidence per 1,000 males","Cancer incidence per 1,000 males (rank)"
Alpine,3678,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3691,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3695,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3697,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3698,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3699,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3701,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3735,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3737,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3739,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3740,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3741,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3744,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3747,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3749,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3858,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3862,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3898,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3900,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Ararat,3272,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3274,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3293,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3294,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3325,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3351,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3361,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3373,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3374,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3375,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3377,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3378,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3379,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3381,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3384,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3469,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ballarat,3334,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3350,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3351,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3352,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3355,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3356,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3357,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3363,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3364,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3370,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Banyule,3071,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3072,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3073,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3078,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3079,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3081,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3083,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3084,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3085,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3086,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3087,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3088,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3089,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3093,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3094,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3095,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3102,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3104,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3105,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3106,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Banyule,3107,16.70%,31,12.70%,51,21.70%,11,72.10%,50,77.80%,48,66.20%,50,10.50%,63,3.60%,66,24.30%,49,6.80%,44,5.7,44,5.7,32,5.7,53
Bass Coast,3922,17.70%,20,16.80%,21,18.20%,22,74.90%,33,82.70%,25,67.20%,44,13.10%,33,5.10%,32,25.90%,43,7.00%,38,7.7,10,7.7,5,7.8,20
Bass Coast,3923,17.70%,20,16.80%,21,18.20%,22,74.90%,33,82.70%,25,67.20%,44,13.10%,33,5.10%,32,25.90%,43,7.00%,38,7.7,10,7.7,5,7.8,20
Bass Coast,3925,17.70%,20,16.80%,21,18.20%,22,74.90%,33,82.70%,25,67.20%,44,13.10%,33,5.10%,32,25.90%,43,7.00%,38,7.7,10,7.7,5,7.8,20
Bass Coast,3945,17.70%,20,16.80%,21,18.20%,22,74.90%,33,82.70%,25,67.20%,44,13.10%,33,5.10%,32,25.90%,43,7.00%,38,7.7,10,7.7,5,7.8,20
Bass Coast,3951,17.70%,20,16.80%,21,18.20%,22,74.90%,33,82.70%,25,67.20%,44,13.10%,33,5.10%,32,25.90%,43,7.00%,38,7.7,10,7.7,5,7.8,20
Bass Coast,3956,17.70%,20,16.80%,21,18.20%,22,74.90%,33,82.70%,25,67.20%,44,13.10%,33,5.10%,32,25.90%,43,7.00%,38,7.7,10,7.7,5,7.8,20
Bass Coast,3979,17.70%,20,16.80%,21,18.20%,22,74.90%,33,82.70%,25,67.20%,44,13.10%,33,5.10%,32,25.90%,43,7.00%,38,7.7,10,7.7,5,7.8,20
Bass Coast,3984,17.70%,20,16.80%,21,18.20%,22,74.90%,33,82.70%,25,67.20%,44,13.10%,33,5.10%,32,25.90%,43,7.00%,38,7.7,10,7.7,5,7.8,20
Bass Coast,3987,17.70%,20,16.80%,21,18.20%,22,74.90%,33,82.70%,25,67.20%,44,13.10%,33,5.10%,32,25.90%,43,7.00%,38,7.7,10,7.7,5,7.8,20
Bass Coast,3991,17.70%,20,16.80%,21,18.20%,22,74.90%,33,82.70%,25,67.20%,44,13.10%,33,5.10%,32,25.90%,43,7.00%,38,7.7,10,7.7,5,7.8,20
Bass Coast,3992,17.70%,20,16.80%,21,18.20%,22,74.90%,33,82.70%,25,67.20%,44,13.10%,33,5.10%,32,25.90%,43,7.00%,38,7.7,10,7.7,5,7.8,20
Bass Coast,3995,17.70%,20,16.80%,21,18.20%,22,74.90%,33,82.70%,25,67.20%,44,13.10%,33,5.10%,32,25.90%,43,7.00%,38,7.7,10,7.7,5,7.8,20
Bass Coast,3996,17.70%,20,16.80%,21,18.20%,22,74.90%,33,82.70%,25,67.20%,44,13.10%,33,5.10%,32,25.90%,43,7.00%,38,7.7,10,7.7,5,7.8,20
Baw Baw,3723,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3783,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3797,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3799,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3815,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3816,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3818,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3820,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3821,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3822,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3823,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3824,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3825,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3831,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3832,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3833,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3835,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3840,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3844,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3854,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3856,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3858,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3871,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3950,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3953,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3981,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Baw Baw,3988,12.90%,58,14.50%,33,11.50%,68,74.00%,39,81.40%,33,66.50%,47,10.70%,60,4.10%,56,28.40%,25,6.60%,50,5.8,41,5.1,44,6.5,35
Bayside,3162,8.50%,78,6.50%,79,12.80%,60,69.30%,61,74.40%,62,63.60%,60,6.20%,77,2.80%,76,20.60%,71,5.30%,74,6.4,30,5.7,31,7.1,29
Bayside,3184,8.50%,78,6.50%,79,12.80%,60,69.30%,61,74.40%,62,63.60%,60,6.20%,77,2.80%,76,20.60%,71,5.30%,74,6.4,30,5.7,31,7.1,29
Bayside,3185,8.50%,78,6.50%,79,12.80%,60,69.30%,61,74.40%,62,63.60%,60,6.20%,77,2.80%,76,20.60%,71,5.30%,74,6.4,30,5.7,31,7.1,29
Bayside,3186,8.50%,78,6.50%,79,12.80%,60,69.30%,61,74.40%,62,63.60%,60,6.20%,77,2.80%,76,20.60%,71,5.30%,74,6.4,30,5.7,31,7.1,29
Bayside,3187,8.50%,78,6.50%,79,12.80%,60,69.30%,61,74.40%,62,63.60%,60,6.20%,77,2.80%,76,20.60%,71,5.30%,74,6.4,30,5.7,31,7.1,29
Bayside,3188,8.50%,78,6.50%,79,12.80%,60,69.30%,61,74.40%,62,63.60%,60,6.20%,77,2.80%,76,20.60%,71,5.30%,74,6.4,30,5.7,31,7.1,29
Bayside,3189,8.50%,78,6.50%,79,12.80%,60,69.30%,61,74.40%,62,63.60%,60,6.20%,77,2.80%,76,20.60%,71,5.30%,74,6.4,30,5.7,31,7.1,29
Bayside,3190,8.50%,78,6.50%,79,12.80%,60,69.30%,61,74.40%,62,63.60%,60,6.20%,77,2.80%,76,20.60%,71,5.30%,74,6.4,30,5.7,31,7.1,29
Bayside,3191,8.50%,78,6.50%,79,12.80%,60,69.30%,61,74.40%,62,63.60%,60,6.20%,77,2.80%,76,20.60%,71,5.30%,74,6.4,30,5.7,31,7.1,29
Bayside,3192,8.50%,78,6.50%,79,12.80%,60,69.30%,61,74.40%,62,63.60%,60,6.20%,77,2.80%,76,20.60%,71,5.30%,74,6.4,30,5.7,31,7.1,29
Bayside,3193,8.50%,78,6.50%,79,12.80%,60,69.30%,61,74.40%,62,63.60%,60,6.20%,77,2.80%,76,20.60%,71,5.30%,74,6.4,30,5.7,31,7.1,29
Bayside,3194,8.50%,78,6.50%,79,12.80%,60,69.30%,61,74.40%,62,63.60%,60,6.20%,77,2.80%,76,20.60%,71,5.30%,74,6.4,30,5.7,31,7.1,29
Bayside,3204,8.50%,78,6.50%,79,12.80%,60,69.30%,61,74.40%,62,63.60%,60,6.20%,77,2.80%,76,20.60%,71,5.30%,74,6.4,30,5.7,31,7.1,29
Benalla,3646,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3666,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3669,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3670,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3672,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3673,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3675,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3678,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3720,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3723,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3725,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3726,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3727,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3728,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Benalla,3733,9.80%,71,8.20%,74,11.50%,67,76.30%,25,83.60%,22,68.80%,31,12.40%,38,5.10%,30,29.10%,14,6.30%,57,7.5,13,6.1,23,8.9,10
Boroondara,3067,10.30%,68,12.90%,48,7.70%,79,65.30%,69,71.00%,70,59.20%,72,6.10%,78,3.20%,71,20.40%,72,4.80%,76,5,64,4.5,64,5.5,60
Boroondara,3078,10.30%,68,12.90%,48,7.70%,79,65.30%,69,71.00%,70,59.20%,72,6.10%,78,3.20%,71,20.40%,72,4.80%,76,5,64,4.5,64,5.5,60
Boroondara,3079,10.30%,68,12.90%,48,7.70%,79,65.30%,69,71.00%,70,59.20%,72,6.10%,78,3.20%,71,20.40%,72,4.80%,76,5,64,4.5,64,5.5,60
Boroondara,3101,10.30%,68,12.90%,48,7.70%,79,65.30%,69,71.00%,70,59.20%,72,6.10%,78,3.20%,71,20.40%,72,4.80%,76,5,64,4.5,64,5.5,60
Boroondara,3102,10.30%,68,12.90%,48,7.70%,79,65.30%,69,71.00%,70,59.20%,72,6.10%,78,3.20%,71,20.40%,72,4.80%,76,5,64,4.5,64,5.5,60
Boroondara,3103,10.30%,68,12.90%,48,7.70%,79,65.30%,69,71.00%,70,59.20%,72,6.10%,78,3.20%,71,20.40%,72,4.80%,76,5,64,4.5,64,5.5,60
Boroondara,3104,10.30%,68,12.90%,48,7.70%,79,65.30%,69,71.00%,70,59.20%,72,6.10%,78,3.20%,71,20.40%,72,4.80%,76,5,64,4.5,64,5.5,60
Boroondara,3105,10.30%,68,12.90%,48,7.70%,79,65.30%,69,71.00%,70,59.20%,72,6.10%,78,3.20%,71,20.40%,72,4.80%,76,5,64,4.5,64,5.5,60
