LGA region,Postcode,People reporting fair or poor health status,People reporting fair or poor health status (rank),Females reporting fair or poor health status,Females reporting fair or poor health status (rank),Males reporting fair or poor health status,Males reporting fair or poor health status (rank),People receiving prescriptions,People receiving prescriptions (rank),Females receiving prescriptions,Females receiving prescriptions (rank),Males receiving prescriptions,Males receiving prescriptions (rank),"People who delayed purchasing prescribed medication, unable to afford","People who delayed purchasing prescribed medication, unable to afford (rank)",People reporting type 2 diabetes,People reporting type 2 diabetes (rank),People reporting high blood pressure,People reporting high blood pressure (rank),People reporting heart disease,People reporting heart disease (rank),"Cancer incidence per 1,000 population","Cancer incidence per 1,000 population (rank)","Cancer incidence per 1,000 females","Cancer incidence per 1,000 females (rank)","Cancer incidence per 1,000 males","Cancer incidence per 1,000 males (rank)"
Towong,2640,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Towong,2642,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Towong,2644,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Towong,2649,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Towong,3691,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Towong,3695,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Towong,3697,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Towong,3700,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Towong,3701,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Towong,3705,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Towong,3707,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Towong,3709,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Towong,3885,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Towong,3900,11.20%,65,9.60%,65,12.80%,61,43.30%,79,45.20%,79,41.40%,79,13.10%,31,5.10%,31,24.10%,51,5.50%,70,7.9,7,7.2,10,8.6,11
Wangaratta,3673,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3675,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3677,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3678,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3682,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3683,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3723,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3726,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3728,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3730,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
Wangaratta,3732,9.30%,75,10.50%,60,8.10%,77,76.40%,23,82.10%,28,70.40%,23,12.30%,41,4.20%,50,19.20%,77,6.40%,56,6.7,24,5.1,46,8.4,13
